OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
237711063,516,Executive Blvd & E Jefferson St,32079,39.04873,-77.1257,YES,NO,,,NO,10,5,389119.03377561,153423.25344851,,
237711064,517,Fishers Ln & Rock Creek Mill Rd,32080,39.0629,-77.113454,YES,NO,,,NO,10,5,390181.03839473,154994.89700637,,
237711065,518,Congressional Ln & E Jefferson St,32081,39.06219,-77.129235,YES,NO,,,NO,11,3,388815.14917769,154917.89423183,,
237711066,519,Garland Ave & Walden Rd,32082,39.00048,-77.00077,YES,NO,,,NO,2,13,399933.30130751,148059.49329491,,
237711067,520,Greensboro & Pinnacle Dr,32227,38.92245,-77.23034,YES,NO,,,NO,5,8,380025.7275732,139422.63616382,,
237711068,521,1301 McCormick Dr / Wayne K. Curry Admin Bldg,32400,38.908391,-76.843263,YES,NO,,,NO,3,12,413594.36716813,137848.44081626,,
237711069,522,Largo Town Center Metro,32401,38.899811,-76.844604,YES,NO,,,NO,11,6,413479.67880639,136895.79387366,,
237711070,523,Baltimore Ave & Van Buren St / Riverdale Park Station,32402,38.969581,-76.937349,YES,NO,,,NO,11,5,405429.28841871,144631.26332121,,
237711071,524,Baltimore Ave & Jefferson St,32403,38.95548,-76.940133,YES,NO,,,NO,6,9,405189.0556649,143065.75926068,,
237711072,525,Perry & 35th St,32404,38.936213,-76.960054,YES,NO,,,NO,4,11,403463.31126239,140926.00580608,,
237711073,526,Grand Park & Rose Ave,32083,39.051035,-77.1176,YES,NO,,,NO,4,10,389820.52312122,153678.20010051,,
237711074,527,Potomac Ave & Half St SW,31648,38.870201,-77.010837,YES,NO,,,NO,4,18,399059.564052,133597.43811401,,DC
237711075,529,Crystal Dr & Potomac Ave,31925,38.848304,-77.05122,YES,NO,,,NO,5,6,395553.75965314,131167.90422253,,
237711076,530,Largo Rd & Campus Way / Prince Georges's Comm Col,32405,38.88994,-76.825535,YES,NO,,,NO,8,6,415135.8933892,135803.02524401,,
237711077,531,Stanton Square SE,31822,38.855004,-76.984512,YES,NO,,,NO,6,12,401344.3364042,131910.51845013,,DC
237711078,532,14th & Newton St NW,31649,38.931991,-77.032956,YES,NO,,,NO,4,15,397142.5512971,140457.08506238,,DC
237711079,533,48th Pl & MacArthur Blvd NW,31322,38.917304,-77.09629,YES,NO,,,NO,6,13,391649.4609413,138830.59122064,,DC
237711080,534,14th & Luzon St NW,31416,38.969489,-77.033509,YES,NO,,,NO,13,6,397096.13141553,144619.72035474,,DC
237711081,535,1st & M St SE,31650,38.876893,-77.006072,YES,NO,,,NO,2,17,399473.12064057,134340.26201911,,DC
237711082,536,Fleet St & Waterfront St,32406,38.782633,-77.016059,YES,NO,,,NO,8,7,398604.68836866,123876.87422328,,
237711083,537,Oxon Hill Park & Ride,32407,38.798749,-77.00103,YES,NO,,,NO,3,11,399910.5270042,125665.72542345,,
237711084,538,11th & Park Rd NW,31651,38.93165,-77.028305,YES,NO,,,NO,1,17,397545.80432084,140419.09579968,,DC
237711085,539,4th & M St SE,31652,38.876751,-77.000736,YES,NO,,,NO,12,6,399936.13570809,134324.48167991,,DC
237711086,540,Kansas Ave & Sherman Cr NW,31417,38.948057,-77.021467,YES,NO,,,NO,11,8,398139.12396604,142240.25608725,,DC
237711087,541,Campus Commons,32228,38.944707,-77.335425,YES,NO,,,NO,4,7,370922.23982449,141921.57807479,,
237711088,542,Park Run & Onyx Dr,32229,38.92755,-77.226644,YES,NO,,,NO,1,10,380347.63656968,139987.97567858,,
237711089,543,7th & K St NW,31653,38.902674,-77.021392,YES,NO,,,NO,19,0,398144.44482152,137202.35439866,,DC
237711090,544,King Greenleaf Rec Center,31654,38.876211,-77.012443,YES,NO,,,NO,11,8,398920.28614755,134264.61092602,,DC
237711091,545,Montello Ave & Holbrook Terr NE,31524,38.907444,-76.986813,YES,NO,,,NO,13,6,401143.77197127,137731.72831818,,DC
237711092,546,New Jersey Ave & F St NW,31655,38.897108,-77.011616,YES,NO,,,NO,6,26,398992.34242003,136584.33049353,,DC
237711093,547,Maryland Ave & 17th St NE,31656,38.901935,-76.978627,YES,NO,,,NO,7,12,401853.92631338,137120.31905717,,DC
237711094,548,Massachusetts Ave & 6th St NE,31657,38.892934,-76.998273,YES,NO,,,NO,9,9,400149.82149334,136120.92075379,,DC
237711095,549,Woodley Park Metro / Calvert St & Connecticut Ave NW,31323,38.923389,-77.051833,YES,NO,,,NO,3,19,395505.27970405,139502.94951435,,DC
237711096,550,McLean Metro,32230,38.923781,-77.207906,YES,NO,,,NO,10,9,381971.45788683,139565.71846746,,
237711097,551,Trinidad Rec Center,31525,38.906299,-76.983221,YES,NO,,,NO,6,13,401455.34677634,137604.67511904,,DC
237711098,552,Rosedale Rec Center / 17th & Gales St NE,31658,38.897808,-76.979634,YES,NO,,,NO,8,11,401766.67981983,136662.16902837,,DC
237711099,553,11th & C St SE,31659,38.885908,-76.991476,YES,NO,,,NO,5,14,400739.55076938,135341.01300804,,DC
237711100,554,New Hampshire & Gallatin St NW,31418,38.951596,-77.012808,YES,NO,,,NO,10,9,398889.78818014,142632.97619532,,DC
